muni6,total_cases,active_months,active_years,peak_year_cases,outbreak_years,active_month_frac,active_year_frac,peak_year_share,episodes,recurrence_index,persistence_index,concentration_index,pattern_class
110018,44,23,9,27,1,0.19166666666666668,0.9,0.6136363636363636,15,0.9,0.19166666666666668,0.6136363636363636,intermediate
110020,3630,118,10,1122,5,0.9833333333333333,1,0.3090909090909091,3,1,0.9833333333333333,0.3090909090909091,recurrent
110025,373,63,9,108,6,0.525,0.9,0.289544235924933,17,0.9,0.525,0.289544235924933,recurrent
110026,5,4,3,3,1,0.03333333333333333,0.3,0.6,3,0.3,0.03333333333333333,0.6,intermediate
110028,50,33,8,11,7,0.275,0.8,0.22,23,0.8,0.275,0.22,recurrent
110029,17,16,7,4,3,0.13333333333333333,0.7,0.23529411764705882,12,0.7,0.13333333333333333,0.23529411764705882,recurrent
110030,667,96,10,278,4,0.8,1,0.41679160419790107,16,1,0.8,0.41679160419790107,recurrent
110032,11,11,7,3,1,0.09166666666666666,0.7,0.2727272727272727,9,0.7,0.09166666666666666,0.2727272727272727,recurrent
110033,20,15,5,7,4,0.125,0.5,0.35,9,0.5,0.125,0.35,recurrent
110034,11,7,4,5,2,0.058333333333333334,0.4,0.45454545454545453,4,0.4,0.058333333333333334,0.45454545454545453,recurrent
110037,113,22,7,68,3,0.18333333333333332,0.7,0.6017699115044248,9,0.7,0.18333333333333332,0.6017699115044248,recurrent
110040,27,18,7,8,4,0.15,0.7,0.2962962962962963,15,0.7,0.15,0.2962962962962963,recurrent
110045,16,15,7,5,2,0.125,0.7,0.3125,10,0.7,0.125,0.3125,recurrent
110050,11,8,5,4,1,0.06666666666666667,0.5,0.36363636363636365,7,0.5,0.06666666666666667,0.36363636363636365,recurrent
110060,47,12,3,32,3,0.1,0.3,0.6808510638297872,3,0.3,0.1,0.6808510638297872,intermediate
110070,15,10,4,7,2,0.08333333333333333,0.4,0.4666666666666667,7,0.4,0.08333333333333333,0.4666666666666667,recurrent
110080,119,48,10,40,4,0.4,1,0.33613445378151263,19,1,0.4,0.33613445378151263,recurrent
110090,8,5,4,5,1,0.041666666666666664,0.4,0.625,4,0.4,0.041666666666666664,0.625,intermediate
110092,19,9,6,10,2,0.075,0.6,0.5263157894736842,8,0.6,0.075,0.5263157894736842,recurrent
110094,12,12,5,5,1,0.1,0.5,0.4166666666666667,10,0.5,0.1,0.4166666666666667,recurrent
110100,5,4,4,2,0,0.03333333333333333,0.4,0.4,4,0.4,0.03333333333333333,0.4,recurrent
110110,10,9,5,4,1,0.075,0.5,0.4,9,0.5,0.075,0.4,recurrent
110120,9,7,6,3,1,0.058333333333333334,0.6,0.3333333333333333,7,0.6,0.058333333333333334,0.3333333333333333,recurrent
110130,9,8,5,5,1,0.06666666666666667,0.5,0.5555555555555556,7,0.5,0.06666666666666667,0.5555555555555556,recurrent
110140,11,11,6,3,1,0.09166666666666666,0.6,0.2727272727272727,10,0.6,0.09166666666666666,0.2727272727272727,recurrent
110143,13,9,3,11,1,0.075,0.3,0.8461538461538461,5,0.3,0.075,0.8461538461538461,sporadic
110145,106,15,4,80,2,0.125,0.4,0.7547169811320755,4,0.4,0.125,0.7547169811320755,sporadic
110146,108,26,7,45,4,0.21666666666666667,0.7,0.4166666666666667,14,0.7,0.21666666666666667,0.4166666666666667,recurrent
110147,299,43,8,106,5,0.35833333333333334,0.8,0.35451505016722407,21,0.8,0.35833333333333334,0.35451505016722407,recurrent
110148,7,7,5,3,1,0.058333333333333334,0.5,0.42857142857142855,6,0.5,0.058333333333333334,0.42857142857142855,recurrent
110149,20,12,6,6,4,0.1,0.6,0.3,8,0.6,0.1,0.3,recurrent
110150,6,6,4,2,0,0.05,0.4,0.3333333333333333,6,0.4,0.05,0.3333333333333333,recurrent
110155,15,8,6,7,2,0.06666666666666667,0.6,0.4666666666666667,6,0.6,0.06666666666666667,0.4666666666666667,recurrent
110160,14,10,4,6,3,0.08333333333333333,0.4,0.42857142857142855,7,0.4,0.08333333333333333,0.42857142857142855,recurrent
110170,10,9,4,5,1,0.075,0.4,0.5,6,0.4,0.075,0.5,recurrent
110175,3,3,3,1,0,0.025,0.3,0.3333333333333333,3,0.3,0.025,0.3333333333333333,intermediate
110180,23,17,6,6,4,0.14166666666666666,0.6,0.2608695652173913,12,0.6,0.14166666666666666,0.2608695652173913,recurrent
120001,27,21,9,8,4,0.175,0.9,0.2962962962962963,17,0.9,0.175,0.2962962962962963,recurrent
120005,65,18,8,47,1,0.15,0.8,0.7230769230769231,13,0.8,0.15,0.7230769230769231,intermediate
120010,129,37,8,67,2,0.30833333333333335,0.8,0.5193798449612403,16,0.8,0.30833333333333335,0.5193798449612403,recurrent
120013,21,18,7,7,3,0.15,0.7,0.3333333333333333,12,0.7,0.15,0.3333333333333333,recurrent
