uf,state_name,ensemble_id,foi_pwmean,foi_equiv
PR,Parana,77,0.011978389636942827,0.011976321146087505
SC,Santa Catarina,77,0.0127651207745153,0.012763101181369925
RS,Rio Grande do Sul,77,0.011541231696998767,0.011539011767169911
MS,Mato Grosso do Sul,77,0.009523903356872707,0.009518981553669138
MT,Mato Grosso,77,0.011171425037453381,0.011163952725443868
GO,Goias,77,0.009769472099776117,0.009767093734224646
DF,Distrito Federal,77,0.010405368134772894,0.010403359083705098
RO,Rondonia,78,0.00960468244567013,0.009602603749298657
AC,Acre,78,0.007237411040753455,0.007234303384317829
AM,Amazonas,78,0.011585161798197964,0.01158165310591132
RR,Roraima,78,0.014946400118309734,0.014940480200838557
PA,Para,78,0.01284472773672714,0.012839422216158978
AP,Amapa,78,0.010589473167612884,0.01058342232840849
TO,Tocantins,78,0.010613213719171195,0.0106111563839459
MA,Maranhao,78,0.014047121430593496,0.01404288574491754
PI,Piaui,78,0.013926104426369894,0.013921553044447867
CE,Ceara,78,0.01276538815313186,0.012760732322728523
RN,Rio Grande do Norte,78,0.012421028148105868,0.012417776364556796
PB,Paraiba,78,0.012142431867510448,0.012134696838274884
PE,Pernambuco,78,0.011551001497065148,0.011545271259969604
AL,Alagoas,78,0.009041827470023966,0.009036718657415121
SE,Sergipe,78,0.010982933918258535,0.010980934104655454
BA,Bahia,78,0.010681275344506186,0.010675018996193211
MG,Minas Gerais,78,0.016240948227179905,0.01623652697082236
ES,Espirito Santo,78,0.013395205991424627,0.013391269667551975
RJ,Rio de Janeiro,78,0.014546888642056267,0.014541263971094587
SP,Sao Paulo,78,0.017872826667580808,0.01786988576587718
PR,Parana,78,0.01618710791961091,0.016184815253992534
SC,Santa Catarina,78,0.015690944369541278,0.015688013724676014
RS,Rio Grande do Sul,78,0.01498423109841286,0.014982112039244646
MS,Mato Grosso do Sul,78,0.011703237170649392,0.01169855447481149
MT,Mato Grosso,78,0.012122882861164601,0.01211706863151968
GO,Goias,78,0.012565439543721269,0.012558537109004592
DF,Distrito Federal,78,0.017872694092028796,0.01787153147236477
RO,Rondonia,79,0.0077690639431308,0.007766698540032117
AC,Acre,79,0.007480755683520873,0.0074796787063440805
AM,Amazonas,79,0.008551889420575748,0.008546764149718626
RR,Roraima,79,0.011739454686741884,0.01173471344585252
PA,Para,79,0.008382873176761499,0.008378608357766307
AP,Amapa,79,0.007246515764978525,0.007240641598406903
TO,Tocantins,79,0.009204013763918358,0.009202063073417038
MA,Maranhao,79,0.011762107629953578,0.011753477560004376
PI,Piaui,79,0.011034450510556246,0.011027178834078014
CE,Ceara,79,0.010961412464991327,0.010953721402585386
RN,Rio Grande do Norte,79,0.011422100693412308,0.011417433988254769
PB,Paraiba,79,0.011311287944065308,0.011304645880918517
PE,Pernambuco,79,0.011620273905180153,0.011613987218921257
AL,Alagoas,79,0.010778241646398637,0.010769764903938979
SE,Sergipe,79,0.011962186635706343,0.011958058211915677
BA,Bahia,79,0.011311054298690771,0.011300610683999228
MG,Minas Gerais,79,0.016065800566104342,0.016061534684865035
ES,Espirito Santo,79,0.015412554437748473,0.01540461990411145
RJ,Rio de Janeiro,79,0.015363689892952174,0.015358940697040703
SP,Sao Paulo,79,0.016721003068813012,0.0167190023179179
PR,Parana,79,0.01488925138061664,0.014885855819746552
SC,Santa Catarina,79,0.013732584377517202,0.013729973474499724
RS,Rio Grande do Sul,79,0.013531128026607534,0.013527908601225188
MS,Mato Grosso do Sul,79,0.013894899511306728,0.013892106746685283
MT,Mato Grosso,79,0.010463932795128915,0.010455346740313773
GO,Goias,79,0.01213982661620596,0.012134816782818523
DF,Distrito Federal,79,0.0173317099905189,0.017330331219561707
RO,Rondonia,80,0.007992741061942562,0.007987883199164346
AC,Acre,80,0.0075353309879496915,0.007529112122590207
AM,Amazonas,80,0.01151085998661724,0.011505155135571595
RR,Roraima,80,0.014552802584530566,0.01454724507548595
PA,Para,80,0.009944502326274805,0.009936143480949159
AP,Amapa,80,0.008003558397806122,0.007996509652478275
TO,Tocantins,80,0.007010098229362482,0.007007161108999218
MA,Maranhao,80,0.011714819137226724,0.011707815970206507
PI,Piaui,80,0.012197746185982716,0.012187763200133244
CE,Ceara,80,0.012296901120677764,0.012289059829564552
RN,Rio Grande do Norte,80,0.011553168203336272,0.011547365686329282
PB,Paraiba,80,0.011737130620408712,0.011729319825770999
PE,Pernambuco,80,0.010725352810852145,0.010719717927627144
AL,Alagoas,80,0.008639024614063205,0.00863349267130178
SE,Sergipe,80,0.012652866392907526,0.012646316505735292
BA,Bahia,80,0.010244708153830894,0.01023512161797734
MG,Minas Gerais,80,0.013421989020986099,0.013417720713585832
ES,Espirito Santo,80,0.014605227699915343,0.0146014024845092
RJ,Rio de Janeiro,80,0.012753503156470742,0.012747677894447976
SP,Sao Paulo,80,0.015810751954550596,0.015806907044804565
PR,Parana,80,0.013241230384704154,0.013238700043276808
SC,Santa Catarina,80,0.013678187291438937,0.013674959742774828
RS,Rio Grande do Sul,80,0.012682420539999545,0.012679671796268476
MS,Mato Grosso do Sul,80,0.009062596452557902,0.009055668233752276
MT,Mato Grosso,80,0.008577164793319093,0.008565285673020017
GO,Goias,80,0.0096981724179486,0.009692042450075307
DF,Distrito Federal,80,0.011216884707087245,0.011214189588989008
RO,Rondonia,81,0.008470923290231306,0.00846793103029671
AC,Acre,81,0.0073631174968232386,0.007360184081023841
AM,Amazonas,81,0.013373695187749012,0.013363953387891448
RR,Roraima,81,0.017396456501439707,0.017386738337707285
PA,Para,81,0.011046934260528008,0.011039421566577659
AP,Amapa,81,0.00897935568921927,0.008970560921976492
